课程名称：C++语言程序设计基础,课程讲师：郑莉 李超 徐明星 ,开课学校：清华大学,学生人数：545594
课程名称：数据结构(上),课程讲师：邓俊辉 ,开课学校：清华大学,学生人数：516839
课程名称：数据结构（下）,课程讲师：邓俊辉 ,开课学校：清华大学,学生人数：403019
课程名称：操作系统,课程讲师：向勇 陈渝 ,开课学校：清华大学,学生人数：254733
课程名称：Java程序设计,课程讲师：郑莉 ,开课学校：清华大学,学生人数：235635
课程名称：网络技术与应用,课程讲师：沈鑫剡 俞海英 李兴德 许继恒 ,开课学校：中国人民解放军陆军工程大学,学生人数：212117
课程名称：C++语言程序设计进阶,课程讲师：郑莉 李超 徐明星 ,开课学校：清华大学,学生人数：150202
课程名称：C程序设计案例教程（基础）,课程讲师：张莉 ,开课学校：中国农业大学,学生人数：130486
课程名称：人工智能原理,课程讲师：王文敏 ,开课学校：北京大学,学生人数：120222
课程名称：软件工程,课程讲师：刘强 刘璘 ,开课学校：清华大学,学生人数：119142
课程名称：大数据技术与应用,课程讲师：李军 ,开课学校：清华大学,学生人数：117525
课程名称：C程序设计案例教程（进阶）,课程讲师：张莉 ,开课学校：中国农业大学,学生人数：114307
课程名称：Office办公软件应用,课程讲师：史巧硕 朱怀忠 刘洪普 李娟 ,开课学校：河北工业大学,学生人数：108197
课程名称：计算机文化基础,课程讲师：李秀 姚瑞霞 安颖莲 全成斌 ,开课学校：清华大学,学生人数：107773
课程名称：大学计算机基础,课程讲师：徐红云 刘欣欣 曹晓叶 ,开课学校：华南理工大学,学生人数：103726
课程名称：程序设计基础,课程讲师：徐明星 王瑀屏 邬晓钧 ,开课学校：清华大学,学生人数：102713
课程名称：大数据系统基础,课程讲师：王建民 徐葳 陈康 陈文光 ,开课学校：清华大学,学生人数：101000
课程名称：算法设计与分析,课程讲师：王振波 ,开课学校：清华大学,学生人数：87036
课程名称：组合数学,课程讲师：马昱春 ,开课学校：清华大学,学生人数：83830
课程名称：计算机应用基础,课程讲师：宋承继 王坤 李龙龙 李莹 陈小健 白雨鑫 毛小乐 梁菲菲 党佳奇 ,开课学校：陕西工业职业技术学院,学生人数：80581
课程名称：R语言数据分析,课程讲师：艾新波 ,开课学校：北京邮电大学,学生人数：77412
课程名称：Web前端攻城狮,课程讲师：刘强 吴亮 赵文博 ,开课学校：清华大学,学生人数：74278
