ID	AGE	INCOME	GENDER	MARITAL	NUMKIDS	NUMCARDS	HOWPAID	MORTGAGE	STORECAR	LOANS	RISK
100756	44	59944	m	married  	1	2	monthly	y	2	0	good risk 
100668	35	59692	m	married  	1	1	monthly	y	1	0	bad loss  
100418	34	59508	m	married  	1	1	monthly	y	2	1	good risk 
100416	34	59463	m	married  	0	2	monthly	y	1	1	bad loss  
100590	39	59393	f	married  	0	2	monthly	y	1	0	good risk 
100657	41	59276	m	married  	1	2	monthly	y	1	1	good risk 
100702	42	59201	m	married  	0	1	monthly	y	2	0	good risk 
100319	31	59193	f	married  	1	2	monthly	y	1	1	good risk 
100666	28	59179	m	married  	1	1	monthly	y	2	1	bad loss  
100389	30	59036	m	married  	1	1	monthly	y	2	1	good risk 
100758	38	58914	m	married  	0	1	monthly	y	1	1	bad profit
100695	36	58878	f	married  	1	1	monthly	y	1	0	bad profit
100698	42	58785	f	married  	0	2	monthly	y	1	0	good risk 
100769	44	58529	m	married  	0	1	monthly	y	1	0	bad loss  
100376	33	58505	f	married  	0	2	monthly	y	1	0	good risk 
100796	45	58381	m	married  	1	1	monthly	y	1	0	good risk 
100414	34	58026	m	married  	0	1	monthly	y	2	0	good risk 
100354	32	57718	m	married  	1	2	monthly	y	1	1	bad profit
100452	35	57689	m	married  	1	1	monthly	y	2	1	good risk 
100567	38	57683	f	married  	1	1	monthly	y	2	1	bad loss  
100728	28	57623	m	married  	1	1	monthly	y	1	1	bad loss  
100725	43	57598	f	married  	1	1	monthly	y	1	1	good risk 
100665	41	57520	f	married  	1	1	monthly	y	1	0	bad loss  
100730	43	57388	f	married  	0	1	monthly	y	1	0	bad loss  
100766	44	57376	m	married  	0	2	monthly	y	2	1	good risk 
100524	37	57004	f	married  	1	1	monthly	y	2	0	good risk 
100412	34	56891	m	married  	1	1	monthly	y	2	1	bad profit
100374	33	56849	m	married  	1	1	monthly	y	1	1	good risk 
100566	38	56590	m	married  	0	2	monthly	y	1	0	bad loss  
100591	39	56523	m	married  	1	1	monthly	y	2	0	good risk 
100421	34	56486	m	married  	0	1	monthly	y	1	1	bad profit
100670	41	56470	m	married  	0	2	monthly	y	1	0	bad loss  
100379	33	56087	m	married  	1	2	monthly	y	1	1	bad profit
100292	30	56087	f	married  	0	1	monthly	y	1	1	bad profit
100326	31	55897	m	married  	1	2	monthly	y	2	0	good risk 
100497	36	55777	f	married  	1	2	monthly	y	2	0	bad loss  
100568	38	55752	m	married  	0	2	monthly	y	2	1	good risk 
100294	30	55642	f	married  	1	2	monthly	y	1	0	good risk 
100570	38	55565	m	married  	1	2	monthly	y	1	0	good risk 
100347	36	55554	f	married  	0	1	monthly	y	1	0	good risk 
100425	34	55497	m	married  	1	1	monthly	y	2	1	bad profit
100494	36	55421	m	married  	0	2	monthly	y	2	0	good risk 
100592	39	55390	f	married  	0	1	monthly	y	1	0	bad profit
100601	39	55215	m	married  	0	2	monthly	y	2	0	good risk 
100700	42	55140	m	married  	1	2	monthly	y	1	0	good risk 
100563	38	55112	m	married  	1	2	monthly	y	2	1	good risk 
100486	36	54938	m	married  	0	2	monthly	y	1	0	good risk 
100348	32	54792	m	married  	1	1	monthly	y	2	0	good risk 
100672	41	54777	m	married  	1	2	monthly	y	1	1	good risk 
100450	35	54673	f	married  	1	2	monthly	y	2	1	bad profit
100629	28	54671	m	married  	0	2	monthly	y	1	0	good risk 
100386	33	54603	f	married  	1	2	monthly	y	1	1	good risk 
100757	44	54451	m	married  	0	1	monthly	y	2	1	good risk 
100488	36	54021	m	married  	1	1	monthly	y	2	1	bad profit
100383	33	54013	f	married  	0	1	monthly	y	2	0	good risk 
100770	44	53983	f	married  	1	2	monthly	y	2	0	bad profit
100795	45	53842	f	married  	0	2	monthly	y	1	0	good risk 
100415	34	53791	m	married  	0	1	monthly	y	1	1	good risk 
100597	39	53731	m	married  	0	2	monthly	y	2	1	good risk 
100794	45	53704	m	married  	1	2	monthly	y	2	1	good risk 
100755	44	53660	f	married  	1	1	monthly	y	1	1	good risk 
100390	33	53559	f	married  	1	2	monthly	y	1	0	good risk 
100345	32	53552	f	married  	0	2	monthly	y	1	1	good risk 
100753	44	53550	m	married  	1	1	monthly	y	1	1	bad loss  
100492	36	53365	m	married  	0	1	monthly	y	2	0	bad profit
100694	42	53307	m	married  	0	2	monthly	y	1	1	bad loss  
100448	35	53201	m	married  	0	1	monthly	y	2	0	good risk 
100384	33	53195	m	married  	1	2	monthly	y	1	1	good risk 
100630	40	53180	f	married  	1	2	monthly	y	1	0	good risk 
100381	33	53115	f	married  	0	2	monthly	y	1	0	bad loss  
100761	44	53102	m	married  	1	1	monthly	y	1	0	good risk 
100350	32	52973	m	married  	1	1	monthly	y	1	0	bad profit
100352	32	52961	f	married  	1	1	monthly	y	2	1	bad profit
100385	33	52896	m	married  	0	2	monthly	y	2	1	bad profit
100626	38	52887	m	married  	0	2	monthly	y	2	0	good risk 
100768	44	52772	m	married  	1	2	monthly	y	2	1	good risk 
100295	30	52725	m	married  	0	2	monthly	y	1	0	good risk 
100526	37	52545	f	married  	1	1	monthly	y	2	0	good risk 
100325	31	52540	f	married  	0	2	monthly	y	1	0	bad profit
100599	39	52495	f	married  	1	2	monthly	y	1	1	good risk 
100603	39	52173	f	married  	0	2	monthly	y	2	0	bad profit
100346	32	52118	m	married  	1	2	monthly	y	1	1	bad profit
100377	33	51945	f	married  	1	1	monthly	y	1	1	good risk 
100727	36	51939	m	married  	0	1	monthly	y	1	0	bad profit
100671	41	51859	f	married  	0	2	monthly	y	1	1	bad profit
100767	44	51724	m	married  	1	1	monthly	y	2	1	bad loss  
100697	26	51561	m	married  	0	2	monthly	y	1	0	good risk 
100765	44	51498	m	married  	0	1	monthly	y	2	1	bad loss  
100797	45	51385	f	married  	0	1	monthly	y	2	0	good risk 
100324	31	51383	f	married  	0	2	monthly	y	2	1	bad profit
100419	34	51219	m	married  	0	2	monthly	y	2	1	good risk 
100662	37	50833	m	married  	1	1	monthly	y	2	1	good risk 
100754	44	50816	m	married  	0	2	monthly	y	1	1	bad profit
100375	33	50808	f	married  	1	2	monthly	y	2	0	bad loss  
100490	36	50799	m	married  	1	2	monthly	y	1	0	good risk 
100664	33	50631	f	married  	0	2	monthly	y	1	0	good risk 
100621	40	50621	f	married  	1	2	monthly	y	1	0	bad profit
100793	45	50552	m	married  	0	1	monthly	y	2	0	good risk 
100493	36	50515	f	married  	0	1	monthly	y	1	1	good risk 
100593	39	50445	m	married  	0	1	monthly	y	2	1	bad loss  
100500	36	50302	m	married  	1	2	monthly	y	1	0	bad profit
100322	31	50295	f	married  	1	1	monthly	y	1	0	bad profit
100628	40	50199	f	married  	0	1	monthly	y	2	0	bad profit
100571	38	50076	m	married  	1	1	monthly	y	1	1	bad profit
100529	37	50075	m	married  	0	2	monthly	y	1	0	bad profit
100535	37	49988	f	married  	1	2	monthly	y	2	0	good risk 
100799	45	49866	f	married  	0	1	monthly	y	1	0	good risk 
100660	41	49850	m	married  	0	2	monthly	y	1	1	good risk 
100731	43	49789	f	married  	0	2	monthly	y	1	0	good risk 
100344	32	49745	m	married  	0	1	monthly	y	2	1	bad loss  
100373	33	49678	m	married  	0	2	monthly	y	1	0	good risk 
100622	35	49600	m	married  	1	2	monthly	y	2	1	good risk 
100594	39	49529	f	married  	1	1	monthly	y	2	0	good risk 
100705	42	49485	m	married  	1	1	monthly	y	1	1	good risk 
100605	39	49415	m	married  	0	1	monthly	y	1	0	good risk 
100487	36	49409	m	married  	1	2	monthly	y	1	1	good risk 
100604	39	49407	m	married  	1	2	monthly	y	1	0	bad profit
100378	33	49075	m	married  	1	2	monthly	y	1	0	bad profit
100382	33	49008	f	married  	1	2	monthly	y	2	0	good risk 
100423	34	49007	m	married  	1	1	monthly	y	1	0	bad profit
100532	37	48931	m	married  	1	2	monthly	y	2	0	bad loss  
100802	45	48607	f	married  	1	2	monthly	y	2	1	good risk 
100623	28	48599	m	married  	0	1	monthly	y	1	1	bad profit
100388	33	48511	m	married  	0	1	monthly	y	1	0	good risk 
100693	42	48414	m	married  	1	2	monthly	y	1	0	good risk 
100293	30	48336	m	married  	1	2	monthly	y	2	0	bad loss  
100489	36	48084	m	married  	0	2	monthly	y	2	1	good risk 
100527	37	48061	f	married  	1	2	monthly	y	1	0	good risk 
100411	34	47833	m	married  	1	1	monthly	y	1	0	bad loss  
100495	36	47734	m	married  	0	2	monthly	y	1	1	good risk 
100732	43	47623	f	married  	0	2	monthly	y	2	1	bad loss  
100422	34	47623	m	married  	0	1	monthly	y	2	1	good risk 
100661	41	47568	f	married  	0	2	monthly	y	2	1	good risk 
100539	37	47470	f	married  	1	1	monthly	y	1	0	good risk 
100499	36	47422	f	married  	0	2	monthly	y	1	1	bad loss  
100595	39	47161	m	married  	1	2	monthly	y	1	1	good risk 
100798	29	47111	m	married  	0	2	monthly	y	2	1	good risk 
100759	44	47035	m	married  	0	1	monthly	y	2	0	bad profit
100456	35	47026	m	married  	1	2	monthly	y	1	0	good risk 
100596	39	47019	m	married  	0	1	monthly	y	1	1	good risk 
100706	42	46965	f	married  	1	1	monthly	y	2	1	good risk 
100323	31	46955	m	married  	0	2	monthly	y	2	1	good risk 
100451	35	46949	f	married  	0	2	monthly	y	1	1	good risk 
100565	38	46823	m	married  	0	1	monthly	y	1	1	good risk 
100491	36	46785	f	married  	1	1	monthly	y	2	1	bad profit
100458	35	46645	m	married  	1	1	monthly	y	2	0	bad loss  
100701	42	46501	f	married  	1	2	monthly	y	1	1	good risk 
100569	38	46168	f	married  	1	1	monthly	y	2	1	good risk 
100707	42	46119	m	married  	1	1	monthly	y	2	0	good risk 
100625	40	45993	f	married  	1	2	monthly	y	1	0	bad loss  
100468	36	45970	m	married  	0	1	monthly	y	1	0	good risk 
100470	36	45949	f	married  	1	1	monthly	y	2	0	bad profit
100579	39	45904	f	married  	1	1	monthly	y	1	0	good risk 
100453	35	45869	f	married  	0	2	monthly	y	1	1	good risk 
100516	37	45849	m	married  	1	2	monthly	y	2	1	bad loss  
100581	39	45841	f	married  	1	2	monthly	y	1	0	bad loss  
100338	32	45813	f	married  	1	1	monthly	y	1	0	bad loss  
100578	39	45750	f	married  	0	1	monthly	y	1	1	bad profit
100561	38	45721	m	married  	0	1	monthly	y	1	1	bad profit
100282	30	45715	m	married  	0	2	monthly	y	1	1	good risk 
100684	32	45712	f	married  	1	2	monthly	y	1	0	bad profit
100273	30	45706	f	married  	0	2	monthly	y	1	1	good risk 
100343	32	45687	m	married  	1	2	monthly	y	2	1	good risk 
100485	36	45673	m	married  	0	1	monthly	y	2	0	good risk 
100472	36	45659	f	married  	0	1	monthly	y	2	1	good risk 
100688	42	45654	m	married  	0	2	monthly	y	1	0	good risk 
100512	37	45621	m	married  	0	1	monthly	y	1	0	good risk 
100679	42	45584	f	married  	1	1	monthly	y	1	0	good risk 
100683	29	45549	m	married  	1	1	monthly	y	2	0	good risk 
100600	39	45537	m	married  	0	2	monthly	y	1	1	good risk 
100436	35	45518	f	married  	1	1	monthly	y	1	1	bad profit
100618	40	45463	m	married  	0	2	monthly	y	2	1	good risk 
100763	44	45452	f	married  	1	1	monthly	y	1	1	good risk 
100536	37	45450	f	married  	0	1	monthly	y	2	0	bad loss  
100558	38	45419	f	married  	0	2	monthly	y	1	0	bad loss  
100722	43	45390	f	married  	0	2	monthly	y	2	0	good risk 
100703	42	45368	f	married  	0	2	monthly	y	2	1	good risk 
100733	43	45318	m	married  	1	1	monthly	y	1	1	bad profit
100745	44	45313	f	married  	0	2	monthly	y	2	1	bad profit
100650	41	45283	f	married  	1	1	monthly	y	2	1	bad profit
100588	39	45266	f	married  	0	1	monthly	y	1	0	bad profit
100587	39	45246	f	married  	0	1	monthly	y	1	1	bad loss  
100718	43	45240	m	married  	0	2	monthly	y	1	1	bad loss  
100449	35	45238	f	married  	0	2	monthly	y	1	1	good risk 
100716	31	45217	m	married  	1	2	monthly	y	1	1	good risk 
100330	32	45217	m	married  	0	1	monthly	y	1	0	good risk 
100337	32	45209	m	married  	1	2	monthly	y	2	0	good risk 
100746	44	45194	m	married  	1	2	monthly	y	2	1	bad loss  
100531	37	45159	f	married  	1	1	monthly	y	1	0	bad profit
100505	37	45153	f	married  	0	2	monthly	y	1	1	good risk 
100365	33	45115	f	married  	1	2	monthly	y	2	1	good risk 
100562	38	45103	f	married  	0	1	monthly	y	2	1	good risk 
100537	37	45081	f	married  	0	2	monthly	y	1	1	good risk 
100430	35	45066	m	married  	0	1	monthly	y	1	1	good risk 
100284	30	45049	m	married  	1	2	monthly	y	1	1	good risk 
100741	44	45001	f	married  	0	1	monthly	y	2	1	bad profit
100394	34	44997	f	married  	0	1	monthly	y	2	1	good risk 
100285	30	44974	m	married  	1	2	monthly	y	2	0	bad profit
100288	30	44956	f	married  	0	2	monthly	y	1	1	bad loss  
100523	37	44936	f	married  	1	1	monthly	y	1	0	bad profit
100691	42	44898	m	married  	1	1	monthly	y	2	0	good risk 
100334	32	44895	f	married  	1	2	monthly	y	1	1	bad loss  
100602	39	44892	m	married  	1	2	monthly	y	1	0	good risk 
100403	34	44831	m	married  	1	1	monthly	y	2	1	good risk 
100764	44	44787	m	married  	1	2	monthly	y	2	0	good risk 
100329	32	44781	m	married  	1	1	monthly	y	1	0	good risk 
100440	35	44772	m	married  	1	1	monthly	y	2	0	bad loss  
100279	30	44756	f	married  	1	1	monthly	y	2	1	good risk 
100677	42	44728	f	married  	0	2	monthly	y	1	0	bad profit
100620	40	44705	f	married  	1	1	monthly	y	1	0	good risk 
100402	34	44684	f	married  	1	1	monthly	y	1	1	good risk 
100720	43	44682	f	married  	0	1	monthly	y	2	1	good risk 
