ID,AGE,INCOME,GENDER,MARITAL,NUMKIDS,NUMCARDS,HOWPAID,MORTGAGE,STORECAR,LOANS,RISK
100319,31,59193,f,married,1,2,monthly,y,1,1,good risk
100796,45,58381,m,married,1,1,monthly,y,1,0,good risk
100730,43,57388,f,married,0,1,monthly,y,1,0,bad loss
100670,41,56470,m,married,0,2,monthly,y,1,0,bad loss
100347,,55554,f,married,0,1,monthly,y,1,0,good risk
100348,32,54792,m,married,1,1,monthly,y,2,0,good risk
100770,44,53983,f,married,1,2,monthly,y,2,0,bad profit
100753,44,53550,m,married,1,1,monthly,y,1,1,bad loss
100350,32,52973,m,married,1,1,monthly,y,1,0,bad profit
100599,39,52495,f,married,1,2,monthly,y,1,1,good risk
100765,44,51498,m,married,0,1,monthly,y,2,1,bad loss
100664,33,50631,f,married,0,2,monthly,y,1,0,good risk
100571,38,50076,m,married,1,1,monthly,y,1,1,bad profit
100622,35,49600,m,married,1,2,monthly,y,2,1,good risk
100423,34,49007,m,married,1,1,monthly,y,1,0,bad profit
100527,37,48061,f,married,1,2,monthly,y,1,0,good risk
100595,39,47161,m,married,1,2,monthly,y,1,1,good risk
100565,38,46823,m,married,0,1,monthly,y,1,1,good risk
100470,36,45949,f,married,1,1,monthly,y,2,0,bad profit
100282,30,45715,m,married,0,2,monthly,y,1,1,good risk
100679,42,45584,f,married,1,1,monthly,y,1,0,good risk
100722,43,45390,f,married,0,2,monthly,y,2,0,good risk
100449,35,45238,f,married,0,2,monthly,y,1,1,good risk
100562,38,45103,f,married,0,1,monthly,y,2,1,good risk
100523,37,44936,f,married,1,1,monthly,y,1,0,bad profit
100279,30,44756,f,married,1,1,monthly,y,2,1,good risk
100676,42,44597,f,married,1,2,monthly,y,1,0,bad loss
100534,37,44413,m,married,0,2,monthly,y,1,0,good risk
100781,45,44294,m,married,1,2,monthly,y,1,1,good risk
100445,35,44194,m,married,0,2,monthly,y,2,1,good risk
100465,36,44048,m,married,1,1,monthly,y,2,0,good risk
100310,31,43972,f,married,0,1,monthly,y,1,1,bad profit
100511,37,43835,m,married,0,2,monthly,y,2,1,bad profit
100473,36,43750,m,married,1,1,monthly,y,2,1,good risk
100367,33,43645,m,married,0,2,monthly,y,1,0,good risk
100519,37,43408,f,married,0,2,monthly,y,2,0,bad loss
100739,44,43185,f,married,1,1,monthly,y,2,0,good risk
100663,41,42996,m,married,1,2,monthly,y,2,1,good risk
100750,30,42899,m,married,1,1,monthly,y,1,1,bad loss
100654,38,42772,f,married,0,2,monthly,y,2,0,good risk
100576,39,42574,f,married,0,2,monthly,y,2,0,good risk
100331,32,42438,m,married,0,1,monthly,y,1,0,good risk
100387,33,42313,m,married,1,1,monthly,y,2,0,good risk
100647,41,42182,m,married,1,2,monthly,y,2,1,good risk
100714,43,42106,f,married,0,1,monthly,y,2,0,good risk
100291,30,41935,m,married,0,2,monthly,y,2,0,good risk
100464,36,41834,m,married,0,1,monthly,y,2,0,good risk
100438,35,41735,f,married,0,1,monthly,y,1,0,good risk
100413,34,41629,m,married,1,2,monthly,y,2,1,good risk
100366,33,41483,f,married,1,2,monthly,y,1,0,good risk
100437,35,41248,m,married,1,2,monthly,y,2,1,bad loss
100556,38,41158,f,married,1,2,monthly,y,2,0,bad profit
100434,35,40992,m,married,1,2,monthly,y,2,0,good risk
100364,33,40940,m,married,1,2,monthly,y,1,1,good risk
100611,40,40855,f,married,0,1,monthly,y,2,1,good risk
100333,32,40636,f,married,1,1,monthly,y,2,1,good risk
100351,32,40526,m,married,1,1,monthly,y,1,1,good risk
100738,44,40425,m,married,0,1,monthly,y,1,1,bad loss
100648,41,40246,m,married,0,1,monthly,y,2,1,bad loss
100575,39,40057,m,married,0,1,monthly,y,1,1,bad loss
100061,29,39476,f,single,0,0,monthly,y,1,0,good risk
100109,33,39162,f,single,0,0,monthly,y,2,0,bad profit
100327,32,38537,f,married,1,1,monthly,y,1,0,good risk
100015,25,37571,f,single,0,1,monthly,y,0,0,good risk
100118,34,37062,f,single,0,1,monthly,y,2,0,bad loss
100076,30,36356,f,single,0,1,monthly,y,1,0,bad loss
100300,31,36036,f,married,0,2,monthly,y,1,1,good risk
100036,27,35505,f,single,0,1,monthly,y,2,0,bad profit
100254,31,34845,m,single,0,1,monthly,y,0,0,bad loss
100181,38,34281,f,single,0,1,monthly,y,1,0,good risk
100150,37,33953,m,single,0,1,monthly,y,1,0,bad profit
100427,35,33679,f,married,0,2,monthly,y,2,1,good risk
100734,44,33454,m,married,0,1,monthly,y,1,1,good risk
100189,39,33011,m,single,0,0,monthly,y,1,0,bad profit
100127,35,32827,m,single,0,0,monthly,y,0,0,good risk
100016,36,32620,m,single,0,1,monthly,y,1,0,good risk
100008,25,32461,m,single,0,0,monthly,y,2,0,good risk
100025,26,31911,m,single,0,0,monthly,y,0,0,bad loss
100091,32,31778,f,single,0,1,monthly,y,1,0,good risk
100167,38,31523,f,single,0,0,monthly,y,2,0,good risk
100093,32,31295,f,single,0,1,monthly,y,2,0,bad profit
100179,38,31101,m,single,0,0,monthly,y,1,0,bad loss
100246,43,30791,f,single,0,1,monthly,y,1,0,good risk
100133,35,30422,f,single,0,1,monthly,y,0,0,good risk
103161,43,29987,f,divsepwid,4,5,weekly,y,4,2,good risk
100064,30,29933,m,single,0,1,monthly,y,2,0,good risk
100004,32,29892,f,single,0,0,monthly,y,0,0,good risk
100143,36,29848,f,single,0,1,monthly,y,0,0,good risk
103494,47,29811,m,divsepwid,4,5,weekly,n,4,3,bad loss
103332,45,29780,m,divsepwid,4,6,weekly,y,3,3,bad profit
104071,49,29746,f,married,3,4,weekly,y,5,2,bad loss
103992,47,29691,m,married,2,4,weekly,y,4,1,good risk
100138,36,29608,m,single,0,0,monthly,y,1,0,good risk
102916,40,29541,f,divsepwid,4,5,weekly,n,3,3,bad profit
100117,34,29453,f,single,0,0,monthly,y,1,0,good risk
103228,44,29413,f,divsepwid,2,6,weekly,y,3,3,bad loss
103728,50,29374,f,divsepwid,2,6,weekly,n,3,2,bad profit
103066,42,29308,f,divsepwid,3,5,weekly,y,4,3,bad loss
103738,30,29282,f,divsepwid,3,5,weekly,y,5,3,bad profit
100173,38,29222,f,single,0,0,monthly,y,1,0,good risk
100102,33,29182,m,single,0,0,monthly,y,2,0,bad loss
103481,47,29095,m,divsepwid,2,5,weekly,n,3,2,bad profit
103004,41,29069,m,divsepwid,2,5,weekly,n,3,3,bad profit
103007,41,29004,m,divsepwid,2,6,weekly,n,4,2,bad profit
103935,32,28942,m,married,2,4,monthly,y,4,2,bad loss
100771,45,28840,m,married,0,1,monthly,y,1,0,good risk
102926,40,28785,m,divsepwid,4,6,weekly,y,5,3,bad loss
103232,44,28716,m,divsepwid,3,6,weekly,n,3,3,good risk
103152,43,28658,f,divsepwid,4,5,weekly,y,5,2,bad loss
103252,44,28617,f,divsepwid,3,5,weekly,n,5,2,bad loss
103657,49,28549,f,divsepwid,3,5,weekly,n,3,3,bad profit
103588,48,28490,m,divsepwid,2,6,weekly,n,3,2,bad profit
100052,29,28454,m,single,0,0,monthly,y,0,0,good risk
103936,45,28383,f,married,2,4,monthly,y,5,1,bad profit
100085,31,28315,m,single,0,0,monthly,y,1,0,bad loss
103259,44,28230,f,divsepwid,2,5,weekly,n,4,2,bad loss
103725,26,28172,m,divsepwid,3,6,weekly,n,3,3,good risk
103582,48,28115,m,divsepwid,2,5,weekly,y,4,2,bad loss
100193,39,28050,m,single,0,0,monthly,y,2,0,bad profit
103406,46,27994,m,divsepwid,2,5,weekly,n,3,2,bad loss
103409,38,27936,m,divsepwid,2,6,weekly,y,3,2,bad profit
103251,44,27909,m,divsepwid,2,6,weekly,y,4,2,bad loss
103485,31,27862,f,divsepwid,4,5,weekly,y,3,2,bad loss
100184,39,27841,m,single,0,0,monthly,y,0,0,good risk
100122,34,27794,f,single,0,0,monthly,y,1,0,good risk
100128,35,27706,m,single,0,1,monthly,y,2,0,good risk
100135,36,27639,f,single,0,0,monthly,y,1,0,bad profit
103399,46,27596,m,divsepwid,3,5,weekly,n,5,2,bad profit
